det(VALLEY-3, THE-1)
nn(VALLEY-3, BEAUTIFUL-2)
nsubj(say-8, VALLEY-3)
prep(VALLEY-3, OF-4)
pobj(OF-4, MO-5)
nsubj(dare-7, I-6)
rcmod(VALLEY-3, dare-7)
root(ROOT-0, say-8)
expl(are-10, there-9)
ccomp(say-8, are-10)
amod(questions-12, several-11)
nsubj(are-10, questions-12)
nsubj(like-15, you-13)
aux(like-15, would-14)
rcmod(questions-12, like-15)
aux(ask-17, to-16)
xcomp(like-15, ask-17)
prep(ask-17, at-18)
det(beginning-21, the-19)
amod(beginning-21, very-20)
pobj(at-18, beginning-21)
prep(beginning-21, of-22)
det(history-24, this-23)
pobj(of-22, history-24)

root(ROOT-0, First-1)
nsubj(Monarch-6, Who-3)
cop(Monarch-6, is-4)
det(Monarch-6, the-5)
dep(First-1, Monarch-6)
prep(Monarch-6, of-7)
pobj(of-7, Mo-8)

cc(called-5, And-1)
advmod(called-5, why-2)
auxpass(called-5, is-3)
nsubjpass(called-5, he-4)
root(ROOT-0, called-5)
det(Monarch-8, the-6)
nn(Monarch-8, Magical-7)
dobj(called-5, Monarch-8)

cc(is-4, And-1)
advmod(is-4, where-2)
dep(where-2, _-3)
root(ROOT-0, is-4)
nn(Mo-6, _-5)
nsubj(is-4, Mo-6)
appos(Mo-6, anyhow-8)

cc(heard-6, And-1)
advmod(heard-6, why-2)
aux(heard-6, have-3)
nsubj(heard-6, you-4)
neg(heard-6, never-5)
root(ROOT-0, heard-6)
prep(heard-6, of-7)
pobj(of-7, it-8)
prep(heard-6, before-9)

cc(reached-5, And-1)
aux(reached-5, can-2)
nsubjpass(reached-5, it-3)
auxpass(reached-5, be-4)
root(ROOT-0, reached-5)
prep(reached-5, by-6)
det(railroad-8, a-7)
pobj(by-6, railroad-8)
cc(railroad-8, or-9)
det(trolley-car-11, a-10)
conj(railroad-8, trolley-car-11)
cc(reached-5, or-13)
aux(walk-16, must-14)
nsubj(walk-16, one-15)
conj(reached-5, walk-16)
predet(way-19, all-17)
det(way-19, the-18)
dobj(walk-16, way-19)

det(questions-2, These-1)
nsubjpass(answered-7, questions-2)
nsubj(realize-4, I-3)
rcmod(questions-2, realize-4)
aux(answered-7, should-5)
auxpass(answered-7, be-6)
root(ROOT-0, answered-7)
mark(settle-22, before-8)
nsubj(settle-22, we-9)
mark(means-15, that-11)
nsubj(means-15, we-13)
parataxis(settle-22, means-15)
dobj(means-15, you-16)
cc(you-16, and-17)
det(book-19, the-18)
conj(you-16, book-19)
aux(settle-22, can-21)
advcl(answered-7, settle-22)
prt(settle-22, down-23)
prep(settle-22, for-24)
det(reading-27, a-25)
amod(reading-27, comfortable-26)
pobj(for-24, reading-27)
prep(reading-27, of-28)
predet(wonders-31, all-29)
det(wonders-31, the-30)
pobj(of-28, wonders-31)
cc(wonders-31, and-32)
amod(adventures-34, astonishing-33)
conj(wonders-31, adventures-34)
nsubj(endeavor-37, I-35)
aux(endeavor-37, shall-36)
rcmod(adventures-34, endeavor-37)
advmod(endeavor-37, faithfully-38)
aux(relate-40, to-39)
xcomp(endeavor-37, relate-40)

prep(personage-14, In-1)
det(place-4, the-2)
amod(place-4, first-3)
pobj(In-1, place-4)
det(Monarch-7, the-6)
nsubj(personage-14, Monarch-7)
prep(Monarch-7, of-8)
pobj(of-8, Mo-9)
cop(personage-14, is-10)
det(personage-14, a-11)
advmod(personage-14, very-12)
amod(personage-14, pleasant-13)
root(ROOT-0, personage-14)
vmod(personage-14, holding-15)
det(rank-17, the-16)
dobj(holding-15, rank-17)
prep(rank-17, of-18)
pobj(of-18, King-19)

nsubj(tall-5, He-1)
cop(tall-5, is-2)
neg(tall-5, not-3)
advmod(tall-5, very-4)
root(ROOT-0, tall-5)
cc(tall-5, nor-7)
cop(short-11, is-8)
nsubj(short-11, he-9)
advmod(short-11, very-10)
conj(tall-5, short-11)
nsubj(fat-17, he-13)
cop(fat-17, is-14)
dep(between-16, midway-15)
advmod(fat-17, between-16)
parataxis(tall-5, fat-17)
cc(fat-17, and-18)
conj(fat-17, lean-19)
nsubj(jolly-24, he-21)
cop(jolly-24, is-22)
advmod(jolly-24, delightfully-23)
parataxis(tall-5, jolly-24)
advmod(sad-29, when-25)
nsubj(sad-29, he-26)
cop(sad-29, is-27)
neg(sad-29, not-28)
advcl(jolly-24, sad-29)
cc(sad-29, and-31)
advmod(sad-33, seldom-32)
conj(sad-29, sad-33)
mark(jolly-39, if-34)
nsubj(jolly-39, he-35)
aux(jolly-39, can-36)
advmod(jolly-39, possibly-37)
cop(jolly-39, be-38)
advcl(sad-29, jolly-39)

advmod(old-2, How-1)
dep(be-5, old-2)
nsubj(be-5, he-3)
aux(be-5, may-4)
advcl(dared-9, be-5)
nsubj(dared-9, I-6)
aux(dared-9, have-7)
neg(dared-9, never-8)
root(ROOT-0, dared-9)
aux(inquire-11, to-10)
xcomp(dared-9, inquire-11)
cc(old-42, but-13)
advmod(realize-16, when-14)
nsubj(realize-16, we-15)
advcl(old-42, realize-16)
mark(destined-20, that-17)
nsubjpass(destined-20, he-18)
auxpass(destined-20, is-19)
ccomp(realize-16, destined-20)
aux(live-22, to-21)
xcomp(destined-20, live-22)
advmod(long-24, as-23)
advmod(live-22, long-24)
mark(exists-30, as-25)
det(Valley-27, the-26)
nsubj(exists-30, Valley-27)
prep(Valley-27, of-28)
pobj(of-28, Mo-29)
ccomp(long-24, exists-30)
nsubj(suppose-34, we-31)
aux(suppose-34, may-32)
advmod(suppose-34, reasonably-33)
ccomp(exists-30, suppose-34)
det(Monarch-36, the-35)
dobj(suppose-34, Monarch-36)
prep(Monarch-36, of-37)
pobj(of-37, Mo-38)
cop(old-42, is-39)
advmod(old-42, exactly-40)
advmod(old-42, as-41)
parataxis(dared-9, old-42)
prep(old-42, as-43)
poss(land-46, his-44)
amod(land-46, native-45)
pobj(as-43, land-46)

cc(reckoned-8, And-1)
neg(one-3, no-2)
nsubj(reckoned-8, one-3)
prep(one-3, in-4)
pobj(in-4, Mo-5)
aux(reckoned-8, has-6)
advmod(reckoned-8, ever-7)
root(ROOT-0, reckoned-8)
prt(reckoned-8, up-9)
det(years-11, the-10)
tmod(reckoned-8, years-11)
aux(see-13, to-12)
vmod(reckoned-8, see-13)
advmod(many-15, how-14)
dep(been-18, many-15)
nsubj(been-18, they-16)
aux(been-18, have-17)
ccomp(see-13, been-18)

dep(say-5, So-1)
nsubj(say-5, we-2)
aux(say-5, will-3)
advmod(say-5, just-4)
root(ROOT-0, say-5)
mark(part-19, that-6)
det(Monarch-8, the-7)
nsubj(part-19, Monarch-8)
prep(Monarch-8, of-9)
pobj(of-9, Mo-10)
cc(Monarch-8, and-11)
det(Valley-13, the-12)
conj(Monarch-8, Valley-13)
prep(Valley-13, of-14)
pobj(of-14, Mo-15)
cop(part-19, are-16)
dep(part-19, each-17)
det(part-19, a-18)
ccomp(say-5, part-19)
prep(part-19, of-20)
det(other-22, the-21)
pobj(of-20, other-22)
cc(part-19, and-24)
aux(separated-28, can-25)
neg(separated-28, not-26)
cop(separated-28, be-27)
conj(part-19, separated-28)

nsubjpass(called-4, He-1)
auxpass(called-4, is-2)
neg(called-4, not-3)
root(ROOT-0, called-4)
det(Monarch-7, the-5)
nn(Monarch-7, Magical-6)
dobj(called-4, Monarch-7)
mark(deals-10, because-8)
nsubj(deals-10, he-9)
advcl(called-4, deals-10)
prep(deals-10, in-11)
pobj(in-11, magic-12)
mark(deal-18, for-14)
nsubj(deal-18, he-15)
aux(deal-18, does-16)
neg(deal-18, n't-17)
advcl(called-4, deal-18)
prep(deal-18, in-19)
pobj(in-19, magic-20)

cc(leads-3, But-1)
nsubj(leads-3, he-2)
root(ROOT-0, leads-3)
predet(life-7, such-4)
det(life-7, a-5)
nn(life-7, queer-6)
dobj(leads-3, life-7)
prep(leads-3, in-8)
predet(country-12, such-9)
det(country-12, a-10)
nn(country-12, queer-11)
pobj(in-8, country-12)
mark(seem-18, that-13)
poss(history-15, his-14)
nsubj(seem-18, history-15)
aux(seem-18, will-16)
advmod(seem-18, surely-17)
ccomp(leads-3, seem-18)
acomp(seem-18, magical-19)
prep(magical-19, to-20)
pobj(to-20, us-21)
nsubj(inhabit-23, who-22)
rcmod(us-21, inhabit-23)
det(places-26, the-24)
amod(places-26, civilized-25)
dobj(inhabit-23, places-26)
prep(places-26, of-27)
det(world-29, the-28)
pobj(of-27, world-29)
cc(seem-18, and-30)
conj(seem-18, think-31)
mark(due-43, that-32)
nsubj(due-43, anything-33)
nsubj(find-37, we-34)
aux(find-37, can-35)
neg(find-37, not-36)
rcmod(anything-33, find-37)
det(reason-39, a-38)
dobj(find-37, reason-39)
prep(find-37, for-40)
aux(due-43, must-41)
cop(due-43, be-42)
ccomp(think-31, due-43)
prep(due-43, to-44)
pobj(to-44, magic-45)

det(life-2, The-1)
nsubj(seems-8, life-2)
prep(life-2, of-3)
det(Monarch-5, the-4)
pobj(of-3, Monarch-5)
prep(Monarch-5, of-6)
pobj(of-6, Mo-7)
root(ROOT-0, seems-8)
acomp(seems-8, simple-9)
advmod(simple-9, enough-10)
prep(simple-9, to-11)
pobj(to-11, him-12)
nsubj(sure-17, you-14)
aux(sure-17, may-15)
cop(sure-17, be-16)
dep(simple-9, sure-17)
mark(knows-21, for-19)
nsubj(knows-21, he-20)
ccomp(simple-9, knows-21)
neg(existence-24, no-22)
amod(existence-24, other-23)
dobj(knows-21, existence-24)

cc(astonish-15, And-1)
poss(ways-3, our-2)
nsubj(astonish-15, ways-3)
prep(ways-3, of-4)
pobj(of-4, living-5)
aux(know-9, could-7)
nsubj(know-9, he-8)
parataxis(astonish-15, know-9)
prep(know-9, of-10)
pobj(of-10, them-11)
aux(astonish-15, would-13)
advmod(astonish-15, doubtless-14)
root(ROOT-0, astonish-15)
dobj(astonish-15, him-16)
advmod(astonish-15, greatly-17)

det(land-2, The-1)
nsubjpass(spoken-20, land-2)
prep(land-2, of-3)
pobj(of-3, Mo-4)
nsubjpass(ruled-8, which-6)
auxpass(ruled-8, is-7)
rcmod(land-2, ruled-8)
prep(ruled-8, by-9)
det(King-11, the-10)
pobj(by-9, King-11)
nsubj(call-13, we-12)
rcmod(King-11, call-13)
det(Monarch-16, the-14)
nn(Monarch-16, Magical-15)
dobj(call-13, Monarch-16)
auxpass(spoken-20, is-18)
advmod(spoken-20, often-19)
root(ROOT-0, spoken-20)
prep(spoken-20, of-21)
pcomp(of-21, as-22)
det(Valley-26, the-23)
nn(Valley-26, Beautiful-25)
pobj(as-22, Valley-26)

mark(put-5, If-1)
nsubj(put-5, they-2)
aux(put-5, would-3)
advmod(put-5, only-4)
advcl(easy-37, put-5)
dobj(put-5, it-6)
prep(put-5, on-7)
det(maps-9, the-8)
pobj(on-7, maps-9)
prep(maps-9, of-10)
poss(geographies-12, our-11)
pobj(of-10, geographies-12)
cc(put-5, and-13)
conj(put-5, paint-14)
dobj(paint-14, it-15)
amod(green-19, pink-16)
cc(pink-16, or-17)
conj(pink-16, light-18)
dobj(put-5, green-19)
cc(put-5, and-21)
conj(put-5, print-22)
det(dot-26, a-23)
amod(dot-26, big-24)
nn(dot-26, round-25)
dobj(print-22, dot-26)
advmod(stands-32, where-27)
det(King-29, the-28)
poss(castle-31, King-29)
possessive(King-29, 's-30)
nsubj(stands-32, castle-31)
advcl(print-22, stands-32)
nsubj(easy-37, it-34)
aux(easy-37, would-35)
cop(easy-37, be-36)
root(ROOT-0, easy-37)
advmod(easy-37, enough-38)
aux(point-40, to-39)
xcomp(easy-37, point-40)
advmod(point-40, out-41)
prep(out-41, to-42)
pobj(to-42, you-43)
poss(location-46, its-44)
amod(location-46, exact-45)
dobj(point-40, location-46)

cc(find-5, But-1)
nsubj(find-5, I-2)
aux(find-5, can-3)
neg(find-5, not-4)
root(ROOT-0, find-5)
det(Valley-7, the-6)
dobj(find-5, Valley-7)
prep(Valley-7, of-8)
pobj(of-8, Mo-9)
prep(find-5, in-10)
det(geography-12, any-11)
pobj(in-10, geography-12)
nsubj(examined-15, I-13)
aux(examined-15, have-14)
rcmod(geography-12, examined-15)
advmod(suspect-19, so-17)
nsubj(suspect-19, I-18)
advcl(be-37, suspect-19)
det(men-21, the-20)
dobj(suspect-19, men-21)
nsubj(made-23, who-22)
rcmod(men-21, made-23)
det(books-26, these-24)
amod(books-26, instructive-25)
nsubj(know-28, books-26)
advmod(know-28, really-27)
ccomp(made-23, know-28)
dobj(know-28, nothing-29)
prep(nothing-29, about-30)
pobj(about-30, Mo-31)
advmod(it-34, else-33)
nsubj(be-37, it-34)
aux(be-37, would-35)
advmod(be-37, surely-36)
parataxis(find-5, be-37)
prep(be-37, on-38)
det(maps-40, the-39)
pobj(on-38, maps-40)

prep(certain-6, Of-1)
num(thing-3, one-2)
pobj(Of-1, thing-3)
nsubj(certain-6, I-4)
cop(certain-6, am-5)
root(ROOT-0, certain-6)
mark(delightful-19, that-8)
neg(country-11, no-9)
amod(country-11, other-10)
nsubj(delightful-19, country-11)
vmod(country-11, included-12)
prep(included-12, in-13)
det(maps-15, the-14)
pobj(in-13, maps-15)
cop(delightful-19, is-16)
advmod(delightful-19, so-17)
advmod(delightful-19, altogether-18)
ccomp(certain-6, delightful-19)
prep(delightful-19, as-20)
det(Valley-23, the-21)
nn(Valley-23, Beautiful-22)
pobj(as-20, Valley-23)
prep(Valley-23, of-24)
pobj(of-24, Mo.-25)

det(sun-2, The-1)
nsubj(shines-3, sun-2)
root(ROOT-0, shines-3)
predet(time-6, all-4)
det(time-6, the-5)
dobj(shines-3, time-6)
cc(shines-3, and-8)
poss(rays-10, its-9)
nsubj(perfumed-12, rays-10)
cop(perfumed-12, are-11)
conj(shines-3, perfumed-12)

det(people-2, The-1)
nsubj(sleep-10, people-2)
nsubj(live-4, who-3)
rcmod(people-2, live-4)
prep(live-4, in-5)
det(Valley-7, the-6)
pobj(in-5, Valley-7)
aux(sleep-10, do-8)
neg(sleep-10, not-9)
root(ROOT-0, sleep-10)
mark(is-14, because-12)
expl(is-14, there-13)
advcl(sleep-10, is-14)
neg(night-16, no-15)
nsubj(is-14, night-16)

nsubj(grows-6, Everything-1)
nsubj(need-5, they-2)
aux(need-5, can-3)
advmod(need-5, possibly-4)
rcmod(Everything-1, need-5)
root(ROOT-0, grows-6)
prep(grows-6, on-7)
det(trees-9, the-8)
pobj(on-7, trees-9)
mark(have-13, so-11)
nsubj(have-13, they-12)
advcl(grows-6, have-13)
neg(use-15, no-14)
dobj(have-13, use-15)
prep(use-15, for-16)
pobj(for-16, money-17)
advmod(money-17, at-18)
pobj(at-18, all-19)
cc(have-13, and-21)
nsubj(saves-23, that-22)
conj(have-13, saves-23)
iobj(saves-23, them-24)
det(deal-26, a-25)
dobj(saves-23, deal-26)
prep(deal-26, of-27)
pobj(of-27, worry-28)

expl(are-2, There-1)
root(ROOT-0, are-2)
neg(people-5, no-3)
amod(people-5, poor-4)
nsubj(are-2, people-5)
prep(people-5, in-6)
det(Valley-9, this-7)
amod(Valley-9, quaint-8)
pobj(in-6, Valley-9)

advmod(desires-4, When-1)
det(person-3, a-2)
nsubj(desires-4, person-3)
advcl(waits-9, desires-4)
det(hat-7, a-5)
amod(hat-7, new-6)
dobj(desires-4, hat-7)
nsubj(waits-9, he-8)
root(ROOT-0, waits-9)
mark(ripe-13, till-10)
nsubj(ripe-13, one-11)
cop(ripe-13, is-12)
advcl(waits-9, ripe-13)
cc(waits-9, and-15)
nsubj(picks-17, then-16)
conj(waits-9, picks-17)
dobj(picks-17, it-18)
cc(picks-17, and-19)
conj(picks-17, wears-20)
dobj(wears-20, it-21)
prep(wears-20, without-22)
pcomp(without-22, asking-23)
poss(permission-26, anybody-24)
possessive(anybody-24, 's-25)
dobj(asking-23, permission-26)

mark(wishes-4, If-1)
det(lady-3, a-2)
nsubj(wishes-4, lady-3)
advcl(examines-10, wishes-4)
det(ring-7, a-5)
amod(ring-7, new-6)
dobj(wishes-4, ring-7)
nsubj(examines-10, she-9)
root(ROOT-0, examines-10)
advmod(examines-10, carefully-11)
dobj(examines-10, those-12)
prep(those-12, upon-13)
det(ring-tree-15, the-14)
pobj(upon-13, ring-tree-15)
cc(examines-10, and-17)
advmod(finds-20, when-18)
nsubj(finds-20, she-19)
advcl(picks-27, finds-20)
dobj(finds-20, one-21)
nsubj(fits-23, that-22)
rcmod(one-21, fits-23)
